drug_a,drug_b,severity,mechanism,effect,Safer_alternative,rationale,reference
Warfarin,Ibuprofen,major,"Increased bleeding risk (antiplatelet effect, GI irritation)",Increased risk of serious GI bleeding,Acetaminophen (Paracetamol),No antiplatelet effect; safer for bleeding risk.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Micromedex"
Simvastatin,Clarithromycin,major,CYP3A4 inhibition â†’ increased statin levels â†’ myopathy,Risk of severe muscle toxicity (rhabdomyolysis),Azithromycin or Amoxicillin,Weaker CYP3A4 inhibition; different antibiotic class.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., FDA Label"
Sertraline,Tramadol,major,Increased serotonin levels,Increased risk of serotonin syndrome,Morphine or Oxycodone (with caution),Lower serotonergic activity.,FDA Adverse Event Reporting
Clopidogrel,Omeprazole,major,CYP2C19 inhibition â†’ decreased clopidogrel efficacy,"Reduced antiplatelet effect, increased thrombosis risk",Pantoprazole or Famotidine,Less potent CYP2C19 inhibition.,Clinical Pharmacokinetics
Digoxin,Verapamil,major,P-gp inhibition â†’ increased digoxin levels,"Increased risk of digoxin toxicity (nausea, arrhythmia)",Amlodipine,No significant effect on P-gp.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., Goodman & Gilman"
Lithium,Ibuprofen,major,Decreased renal lithium clearance â†’ increased lithium levels,Increased risk of lithium toxicity,Acetaminophen,Does not affect lithium clearance.,Acta Psychiatr Scand
Codeine,Paroxetine,major,CYP2D6 inhibition â†’ decreased conversion to morphine,Lack of analgesic efficacy,Morphine,Bypasses metabolic conversion.,Clin Pharmacol Ther
Theophylline,Ciprofloxacin,major,CYP1A2 inhibition â†’ increased theophylline levels,Increased risk of theophylline toxicity,Levofloxacin or Cefuroxime,Lower interaction potential.,Chest Journal
Rifampin,Warfarin,major,CYP induction â†’ decreased warfarin levels,Reduced anticoagulant efficacy,Monitor INR closely or choose different antibiotic,Requires aggressive warfarin dose adjustment.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Sildenafil,Nitroglycerin,major,Profound hypotension,"Risk of syncope, cardiovascular events",Alternative angina treatment,Contraindicated combination.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976., NIH"
Valproic Acid,Lamotrigine,major,Inhibits lamotrigine metabolism,Increased risk of serious rash (Stevens-Johnson syndrome),Slow lamotrigine titration,Requires very slow dose escalation.,Epilepsia Journal
Warfarin,Fluconazole,major,CYP2C9 inhibition â†’ increased warfarin levels,Increased bleeding risk,Terbinafine or topical antifungal,Lower interaction potential.,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cyclosporine,St. John's Wort,major,CYP3A4 induction â†’ decreased cyclosporine levels,Risk of organ rejection,Avoid herbal product,Patient education is critical.,JAMA
Methotrexate,Ibuprofen,major,Decreased methotrexate renal excretion,Increased methotrexate levels â†’ toxicity,Acetaminophen,Does not affect methotrexate excretion.,Arthritis & Rheumatism
Citalopram,Tamoxifen,major,CYP2D6 inhibition â†’ decreased conversion to active endoxifen,Reduced efficacy of tamoxifen therapy,Venlafaxine or Sertraline,Less potent CYP2D6 inhibition.,J Clin Oncol
Allopurinol,Azathioprine,major,XO inhibition â†’ increased azathioprine levels,"Myelosuppression, increased infection risk",Febuxostat (with caution) or adjust doses,Different metabolic pathway (monitor closely).,Ann Rheum Dis
Warfarin,Sulfamethoxazole/Trimethoprim,major,CYP2C9 inhibition + other mechanisms â†’ increased warfarin effect,Increased bleeding risk,Amoxicillin or Cefalexin,Lower interaction potential.,Arch Intern Med
