drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
tolperisone,fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Tolperisone.,1,78,52,727
phenindione,epirizole,Phenindione may increase the anticoagulant activities of Epirizole.,1,67,359,206
digoxin,entecavir,no interaction known or reported,0,32,287,20
quinacrine,tolazoline,no interaction known or reported,0,32,91,158
bosentan,morphine,The serum concentration of Morphine can be decreased when it is combined with Bosentan.,1,87,644,183
metformin,vandetanib,The serum concentration of Vandetanib can be increased when it is combined with Metformin.,1,90,89,83
nafamostat,tixocortol,The risk or severity of adverse effects can be increased when Nafamostat is combined with Tixocortol.,1,101,264,132
ranolazine,nifedipine,The serum concentration of Nifedipine can be increased when it is combined with Ranolazine.,1,91,285,254
methylnaltrexone,chlorpheniramine,no interaction known or reported,0,32,35,260
nebivolol,mycophenolic acid,Nebivolol may decrease the antihypertensive activities of Mycophenolic acid.,1,76,250,232
naftifine,calcium glucoheptonate,no interaction known or reported,0,32,229,46
levorphanol,levocetirizine,The risk or severity of adverse effects can be increased when Levorphanol is combined with Levocetirizine.,1,106,291,290
halothane,olaparib,The metabolism of Olaparib can be decreased when combined with Halothane.,1,73,402,489
benzydamine,fluprednidene,The risk or severity of adverse effects can be increased when Benzydamine is combined with Fluprednidene.,1,105,136,139
cortisone acetate,etoricoxib,no interaction known or reported,0,32,194,232
thiopental,tolfenamic acid,The metabolism of Tolfenamic acid can be increased when combined with Thiopental.,1,81,381,279
chlorthalidone,apraclonidine,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Apraclonidine.,1,108,239,181
naproxen,fluocinolone acetonide,The risk or severity of adverse effects can be increased when Naproxen is combined with Fluocinolone acetonide.,1,111,250,138
hydroxychloroquine,mirabegron,no interaction known or reported,0,32,52,318
acetaminophen,boceprevir,The metabolism of Boceprevir can be decreased when combined with Acetaminophen.,1,79,182,554
metformin,levomilnacipran,Metformin may increase the hypoglycemic activities of Levomilnacipran.,1,70,89,322
famotidine,ledipasvir,The serum concentration of Ledipasvir can be decreased when it is combined with Famotidine.,1,91,71,104
antipyrine,simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Antipyrine.,1,91,318,600
tolcapone,canagliflozin,The risk or severity of adverse effects can be increased when Tolcapone is combined with Canagliflozin.,1,103,211,296
estriol,tolcapone,no interaction known or reported,0,32,51,247
lisuride,acetyldigitoxin,no interaction known or reported,0,32,313,326
simvastatin,tadalafil,The serum concentration of Tadalafil can be increased when it is combined with Simvastatin.,1,91,342,77
arsenic trioxide,paroxetine,Arsenic trioxide may increase the QTc-prolonging activities of Paroxetine.,1,74,339,517
rasagiline,dosulepin,The serum concentration of Dosulepin can be increased when it is combined with Rasagiline.,1,90,306,453
metoclopramide,umeclidinium,The therapeutic efficacy of Umeclidinium can be decreased when used in combination with Metoclopramide.,1,103,229,58
quinine,lercanidipine,Quinine may increase the hypotensive activities of Lercanidipine.,1,65,406,210
nalbuphine,zotepine,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Zotepine.,1,99,291,236
phentermine,tianeptine,Phentermine may increase the stimulatory activities of Tianeptine.,1,66,215,98
orlistat,gadoxetic acid,no interaction known or reported,0,32,87,31
flucloxacillin,mycophenolic acid,The serum concentration of the active metabolites of Mycophenolic acid can be reduced when Mycophenolic acid is used in combination with Flucloxacillin resulting in a loss in efficacy.,1,184,53,232
magnesium trisilicate,deflazacort,The bioavailability of Deflazacort can be decreased when combined with Magnesium trisilicate.,1,93,128,144
mannitol,levodopa,Mannitol may increase the orthostatic hypotensive activities of Levodopa.,1,73,75,376
axitinib,dronedarone,The metabolism of Dronedarone can be decreased when combined with Axitinib.,1,75,132,514
diatrizoate,spiramycin,no interaction known or reported,0,32,37,55
topiramate,naftifine,no interaction known or reported,0,32,140,185
cerulenin,tolvaptan,no interaction known or reported,0,32,69,117
tetracaine,desvenlafaxine,The risk or severity of adverse effects can be increased when Tetracaine is combined with Desvenlafaxine.,1,105,145,331
captopril,tolfenamic acid,The risk or severity of adverse effects can be increased when Captopril is combined with Tolfenamic acid.,1,105,228,279
bendamustine,metolazone,no interaction known or reported,0,32,56,347
thioridazine,metaxalone,The risk or severity of adverse effects can be increased when Thioridazine is combined with Metaxalone.,1,103,558,230
hydromorphone,cyclosporine,The metabolism of Cyclosporine can be decreased when combined with Hydromorphone.,1,81,423,524
apomorphine,bupropion,The risk or severity of adverse effects can be increased when Apomorphine is combined with Bupropion.,1,101,245,280
benzyl alcohol,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Benzyl alcohol.,1,85,264,384
ibuprofen,methylprednisolone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Methylprednisolone.,1,108,252,161
nadolol,lacosamide,Nadolol may increase the atrioventricular blocking (AV block) activities of Lacosamide.,1,87,192,77
promazine,ziprasidone,The metabolism of Ziprasidone can be decreased when combined with Promazine.,1,76,407,535
mecamylamine,sufentanil,The risk or severity of adverse effects can be increased when Mecamylamine is combined with Sufentanil.,1,103,216,207
bupivacaine,amisulpride,The risk or severity of adverse effects can be increased when Bupivacaine is combined with Amisulpride.,1,103,431,197
lisuride,norfloxacin,no interaction known or reported,0,32,313,288
tenoxicam,etidronic acid,The risk or severity of adverse effects can be increased when Tenoxicam is combined with Etidronic acid.,1,104,241,137
perospirone,stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Perospirone.,1,93,235,776
sildenafil,bupranolol,Sildenafil may increase the antihypertensive activities of Bupranolol.,1,70,255,241
halofantrine,manidipine,The metabolism of Manidipine can be decreased when combined with Halofantrine.,1,78,147,530
tirofiban,methyl salicylate,The risk or severity of adverse effects can be increased when Tirofiban is combined with Methyl salicylate.,1,107,64,137
ticarcillin,magnesium trisilicate,no interaction known or reported,0,32,51,91
ergotamine,sulfamethoxazole,The risk or severity of adverse effects can be increased when Ergotamine is combined with Sulfamethoxazole.,1,107,397,302
secobarbital,fluvoxamine,The risk or severity of adverse effects can be increased when Secobarbital is combined with Fluvoxamine.,1,104,604,727
diphenhydramine,butamben,The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Butamben.,1,104,269,191
ibrutinib,cangrelor,The risk or severity of adverse effects can be increased when Ibrutinib is combined with Cangrelor.,1,99,354,45
etodolac,ampicillin,no interaction known or reported,0,32,235,52
nelfinavir,fluvastatin,no interaction known or reported,0,32,123,251
vinblastine,methylene blue,no interaction known or reported,0,32,143,101
mifepristone,clobetasone,The therapeutic efficacy of Clobetasone can be decreased when used in combination with Mifepristone.,1,100,123,141
lodoxamide,iloprost,no interaction known or reported,0,32,31,172
rosuvastatin,dextropropoxyphene,The serum concentration of Dextropropoxyphene can be increased when it is combined with Rosuvastatin.,1,101,340,215
vinorelbine,phendimetrazine,no interaction known or reported,0,32,136,30
nimodipine,thiosulfuric acid,no interaction known or reported,0,32,226,27
loteprednol,nandrolone decanoate,Loteprednol may increase the fluid retaining activities of Nandrolone decanoate.,1,80,142,103
lumacaftor,dantrolene,The metabolism of Dantrolene can be increased when combined with Lumacaftor.,1,76,592,273
prednisone,dienestrol,The serum concentration of Dienestrol can be increased when it is combined with Prednisone.,1,91,199,190
ethylmorphine,isocarboxazid,The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Isocarboxazid.,1,107,312,194
sunitinib,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Sunitinib.,1,76,202,617
morphine,irbesartan,The metabolism of Irbesartan can be decreased when combined with Morphine.,1,74,492,392
secobarbital,benzocaine,The risk or severity of adverse effects can be increased when Secobarbital is combined with Benzocaine.,1,103,604,175
tibolone,dasatinib,no interaction known or reported,0,32,72,579
mefloquine,zaleplon,The therapeutic efficacy of Zaleplon can be decreased when used in combination with Mefloquine.,1,95,213,111
pyrazinamide,emedastine,no interaction known or reported,0,32,101,53
tolnaftate,difenoxin,no interaction known or reported,0,32,60,255
suvorexant,olaparib,The serum concentration of Olaparib can be increased when it is combined with Suvorexant.,1,89,344,489
hydrocodone,quinine,The metabolism of Quinine can be decreased when combined with Hydrocodone.,1,74,417,343
lithium cation,carprofen,The serum concentration of Carprofen can be increased when it is combined with Lithium cation.,1,94,307,170
fentanyl,nabilone,Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Nabilone.,1,100,387,349
pregabalin,codeine,The therapeutic efficacy of Codeine can be increased when used in combination with Pregabalin.,1,94,325,182
dexamethasone,nilotinib,The serum concentration of Nilotinib can be decreased when it is combined with Dexamethasone.,1,93,213,544
bortezomib,lofexidine,The risk or severity of adverse effects can be increased when Bortezomib is combined with Lofexidine.,1,101,202,163
dacarbazine,simeprevir,The metabolism of Simeprevir can be decreased when combined with Dacarbazine.,1,77,63,600
oxycodone,chlorthalidone,The risk or severity of adverse effects can be increased when Oxycodone is combined with Chlorthalidone.,1,104,324,329
warfarin,bezafibrate,Warfarin may increase the anticoagulant activities of Bezafibrate.,1,66,476,76
aminophenazone,delavirdine,The metabolism of Delavirdine can be decreased when combined with Aminophenazone.,1,81,179,652
acitretin,mestranol,The therapeutic efficacy of Mestranol can be decreased when used in combination with Acitretin.,1,95,49,185
amoxapine,tedizolid phosphate,Amoxapine may increase the serotonergic activities of Tedizolid phosphate.,1,74,255,115
morphine,clonidine,The risk or severity of adverse effects can be increased when Morphine is combined with Clonidine.,1,98,492,285
lacidipine,amiloride,The risk or severity of adverse effects can be increased when Lacidipine is combined with Amiloride.,1,100,126,177
phenobarbital,codeine,The metabolism of Codeine can be increased when combined with Phenobarbital.,1,76,879,182
dipyridamole,ifenprodil,Dipyridamole may increase the anticoagulant activities of Ifenprodil.,1,69,135,89
amphotericin b,metipranolol,The risk or severity of adverse effects can be increased when Amphotericin B is combined with Metipranolol.,1,107,215,276
indapamide,bretylium,The risk or severity of adverse effects can be increased when Indapamide is combined with Bretylium.,1,100,235,176
furazolidone,isradipine,Furazolidone may increase the hypotensive activities of Isradipine.,1,67,209,602
ondansetron,ziprasidone,The metabolism of Ziprasidone can be decreased when combined with Ondansetron.,1,78,346,535
celiprolol,milnacipran,The serum concentration of Milnacipran can be increased when it is combined with Celiprolol.,1,92,259,338
difluprednate,vitamin a,no interaction known or reported,0,32,128,32
tizanidine,clonazepam,The risk or severity of adverse effects can be increased when Tizanidine is combined with Clonazepam.,1,101,269,264
prochlorperazine,dimenhydrinate,The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Dimenhydrinate.,1,111,399,255
thiamylal,fluvastatin,The metabolism of Fluvastatin can be decreased when combined with Thiamylal.,1,76,391,251
cyclophosphamide,chloroquine,The metabolism of Chloroquine can be decreased when combined with Cyclophosphamide.,1,83,369,380
loratadine,panobinostat,The serum concentration of Panobinostat can be increased when it is combined with Loratadine.,1,93,233,275
ethylmorphine,eluxadoline,Ethylmorphine may increase the constipating activities of Eluxadoline.,1,70,312,103
methohexital,ethynodiol diacetate,The therapeutic efficacy of Ethynodiol diacetate can be decreased when used in combination with Methohexital.,1,109,458,96
rifampicin,ulobetasol,The serum concentration of Ulobetasol can be decreased when it is combined with Rifampicin.,1,91,770,141
clopidogrel,capecitabine,The metabolism of Capecitabine can be decreased when combined with Clopidogrel.,1,79,133,219
cyclosporine,lacidipine,The risk or severity of adverse effects can be increased when Cyclosporine is combined with Lacidipine.,1,103,339,245
naftifine,ibuprofen,The risk or severity of adverse effects can be increased when Naftifine is combined with Ibuprofen.,1,99,229,187
lenvatinib,zinc sulfate,no interaction known or reported,0,32,213,35
bromfenac,difluprednate,The risk or severity of adverse effects can be increased when Bromfenac is combined with Difluprednate.,1,103,207,142
flutamide,cobicistat,The metabolism of Cobicistat can be decreased when combined with Flutamide.,1,75,126,635
arotinolol,pramipexole,The risk or severity of adverse effects can be increased when Arotinolol is combined with Pramipexole.,1,102,270,321
phentermine,ritodrine,The risk or severity of adverse effects can be increased when Phentermine is combined with Ritodrine.,1,101,215,102
halothane,diltiazem,The metabolism of Diltiazem can be decreased when combined with Halothane.,1,74,402,583
methohexital,hydralazine,Methohexital may increase the hypotensive activities of Hydralazine.,1,68,458,219
glipizide,acebutolol,Glipizide may increase the hypoglycemic activities of Acebutolol.,1,65,244,283
flunitrazepam,meclizine,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Meclizine.,1,103,266,244
fluvoxamine,fexofenadine,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Fexofenadine.,1,104,202,286
deutetrabenazine,sildenafil,The metabolism of Sildenafil can be decreased when combined with Deutetrabenazine.,1,82,137,516
prasterone,ranolazine,The metabolism of Ranolazine can be decreased when combined with Prasterone.,1,76,155,488
rilpivirine,nalbuphine,The serum concentration of Nalbuphine can be decreased when it is combined with Rilpivirine.,1,92,295,160
abemaciclib,fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Abemaciclib.,1,80,74,527
amikacin,ibuprofen,Amikacin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.,1,97,119,187
metamfetamine,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Metamfetamine.,1,84,277,384
pseudoephedrine,viloxazine,no interaction known or reported,0,32,265,26
levomilnacipran,minaprine,Levomilnacipran may increase the serotonergic activities of Minaprine.,1,70,274,198
oxaprozin,flumethasone,The risk or severity of adverse effects can be increased when Oxaprozin is combined with Flumethasone.,1,102,208,136
mifepristone,fluprednidene,The therapeutic efficacy of Fluprednidene can be decreased when used in combination with Mifepristone.,1,102,123,139
macitentan,captodiame,no interaction known or reported,0,32,120,28
propofol,chlorpheniramine,The risk or severity of adverse effects can be increased when Propofol is combined with Chlorpheniramine.,1,105,432,260
zileuton,meclofenamic acid,The risk or severity of adverse effects can be increased when Zileuton is combined with Meclofenamic acid.,1,106,279,169
beclomethasone dipropionate,quinethazone,Beclomethasone dipropionate may increase the hypokalemic activities of Quinethazone.,1,84,128,249
levacetylmethadol,paroxetine,no interaction known or reported,0,32,269,517
digoxin,diclofenac,The serum concentration of Diclofenac can be increased when it is combined with Digoxin.,1,88,287,154
tixocortol,telaprevir,The serum concentration of Telaprevir can be decreased when it is combined with Tixocortol.,1,91,125,546
naloxegol,doxorubicin,The serum concentration of Doxorubicin can be increased when it is combined with Naloxegol.,1,91,264,207
deflazacort,olaparib,The metabolism of Olaparib can be decreased when combined with Deflazacort.,1,75,169,489
deferasirox,darunavir,The serum concentration of Darunavir can be decreased when it is combined with Deferasirox.,1,91,523,591
paclitaxel,dexamethasone,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Dexamethasone.,1,104,434,186
famciclovir,dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Famciclovir.,1,91,84,579
ketotifen,arbutamine,no interaction known or reported,0,32,37,94
felbamate,dantrolene,The risk or severity of adverse effects can be increased when Felbamate is combined with Dantrolene.,1,100,162,273
nalbuphine,fospropofol,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Fospropofol.,1,102,291,185
metaraminol,hydroxyamphetamine,The risk or severity of adverse effects can be increased when Metaraminol is combined with Hydroxyamphetamine.,1,110,83,97
epinastine,cyclosporine,The metabolism of Cyclosporine can be decreased when combined with Epinastine.,1,78,174,524
butenafine,cilnidipine,The risk or severity of adverse effects can be increased when Butenafine is combined with Cilnidipine.,1,102,77,127
procaine,levobupivacaine,The risk or severity of adverse effects can be increased when Procaine is combined with Levobupivacaine.,1,104,189,184
empagliflozin,phenelzine,Empagliflozin may increase the hypoglycemic activities of Phenelzine.,1,69,98,199
secobarbital,pentazocine,The risk or severity of adverse effects can be increased when Secobarbital is combined with Pentazocine.,1,104,604,128
dihydroergotamine,isoxsuprine,no interaction known or reported,0,32,265,229
nalbuphine,pipamperone,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Pipamperone.,1,102,291,269
triamcinolone,cefdinir,no interaction known or reported,0,32,210,32
fluphenazine,arotinolol,Fluphenazine may increase the hypotensive activities of Arotinolol.,1,67,359,130
telaprevir,warfarin,The serum concentration of Warfarin can be decreased when it is combined with Telaprevir.,1,89,100,100
halothane,fluspirilene,The risk or severity of adverse effects can be increased when Halothane is combined with Fluspirilene.,1,102,402,232
vilanterol,atazanavir,The metabolism of Atazanavir can be decreased when combined with Vilanterol.,1,76,108,597
magnesium hydroxide,prednisone,The bioavailability of Prednisone can be decreased when combined with Magnesium hydroxide.,1,90,133,185
thioridazine,clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Thioridazine.,1,95,558,691
ketobemidone,rivastigmine,no interaction known or reported,0,32,298,144
fludarabine,deferiprone,no interaction known or reported,0,32,39,58
clonidine,ropinirole,Clonidine may increase the sedative activities of Ropinirole.,1,61,338,517
thalidomide,clonazepam,Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Clonazepam.,1,105,473,264
bisoprolol,chlorpromazine,The metabolism of Chlorpromazine can be decreased when combined with Bisoprolol.,1,80,357,284
mestranol,rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Mestranol.,1,99,111,261
